商品名称,店铺名,商品售价,商品分类,佣金比例,销量,销量环比,总销量,总销售额,销售额,商品上架时间,店铺总销量
Ginseng Hya Vitamin Cream ครีมโสมไฮยา,YerpallThailand,฿315.00,美妆个护-美容护肤-保湿乳液、乳霜与喷雾,15%,175400,98.13%,538400,155327680,48897428,2023-09-30 22:25:28,2332667
ดินสอเขียนคิ้ว กันน้ำ ดินสอเขียนคิ้วแบบหมุน 2 in 1 มีแปรงปัดคิ้วในตัว มี 5 สีให้เลือก GMB,Nownow shop 000,฿7.20,美妆个护-美妆-眉笔&眉粉&眉胶,12%,172871,-18.53%,4866295,37949646.14,1127644.7,2023-06-23 15:01:03,10253971
Mask มาส์กหน้า แผ่นมาส์กหน้า SADOER มาส์กมาส์กบำรุงล้ำลึกให้ความชุ่มชื้น มะเขือเทศ vc แตงกวา เอสเซ้น 24k มาส์กให้ความชุ่มชื้นหลากหลายสไตล์ Skincare ใบหน้า,JULUJAT SHOP,฿5.10,美妆个护-美容护肤-面膜,10%,153200,67.66%,798200,2667076.86,686338.25,2024-07-30 06:24:41,1250779
โกลเด้น ไฮยา ทิ้นท์ บลัช KATHY AMREZ GOLDEN HYA TINTED BLUSH,Kathy Cosmetics,฿196.08,美妆个护-美妆-腮红,15%,125346,69.9%,224416,44658784,24943854,2025-07-06 12:07:24,3967577
[1แถม4] สบู่น้ำวิตามิน KB VitC Aura Soap,แม่กิ๊ฟ&พ่อบีส,฿110.00,美妆个护-洗浴与身体护理-沐浴露与香皂,6%,124430,38.22%,241847,23942853,12318570,2025-08-24 01:19:15,736951
เล็บปลอม สไตล์ไทยยอดนิยม ติดทนนาน ไม่บิ่น มีสไตล์ที่สร้างแรงบันดาลใจจากคนดังมากมายให้เลือก พร้อมสวมใส่ในหนึ่งนาที เล็บปลอม วัสดุเจลคุณภาพสูง ทรงอัลมอนด์ ทำให้มือดูยาวขึ้น,Happy Girl Manicure-TH,฿63.10,美妆个护-手足及指甲护理-美甲装饰和配饰,10%,110892,1506.66%,122500,1158476.28,1045711.56,2025-09-25 19:56:28,358483
(ซื้อ 1 แถม 1) OUKEYA JUST KISS LIP GLOSS TINT จัสคิส ลิปกลอสทิ้นท์ กลอสให้ความชุ่มชื้น ปากดูฉ่ำวาว ทิ้งสเตนสี,Oukeya Thailand Shop,฿94.00,美妆个护-美妆-口红与唇彩,15%,101923,19.32%,226483,17892157,8051917,2025-07-23 17:45:06,4151276
MAYBELLINE SUPERSTAY VINYL INK LIPSTICK เมย์เบลลีน ซุปเปอร์สเตย์ ไวนิล อิ้งค์ลิปไวนิล ฉ่ำวาว ติดทน 16 ชม. (ลิปสติก),Maybelline TH,฿254.96,美妆个护-美妆-口红与唇彩,7%,94476,67.24%,766316,174449939.2,20926938.06,2022-08-03 17:06:40,1627473
Mask แผ่นมาส์กหน้า มาส์กหน้าSADOER มาส์กหน้า,Global future mall,฿5.31,美妆个护-洗浴与身体护理-身体敷膜,8%,91363,-2.09%,4138162,7439948.96,412835.43,2023-12-15 01:30:22,5119010
Beautilab A2P Retouch Brightening Concealer/Peach Dark Spot Corrector คอนซีลเลอร์ หรือ คอเรคเตอร์สีพีช ปกปิดใต้ตาคล้ำ,drpongshop,฿180.90,美妆个护-美妆-遮瑕与粉底,5%,89950,96.43%,568778,95190098.56,14785591.72,2024-02-15 10:05:29,5006906
สบู่ทิพย์สุฟอกผิวกาย ขจัดคราบครีม&ขี้ไคลTHIPS SKIN CLEANSING SOAP,THIPSทิพย์สุ1,฿180.00,美妆个护-洗浴与身体护理-沐浴露与香皂,15%,82388,-16.77%,778810,143322066.3,13111582.8,2023-09-27 00:11:14,1164744
(โปรไลฟ์) ครีมรักแร้ใหญ่ 1 กระปุก แบรนด์ฝนดอกไม้,ฝนดอกไม้,฿638.00,美妆个护-洗浴与身体护理-身体除臭&防汗剂,3%,79785,79784900%,79991,12223329.9,11890048.57,2025-10-13 22:05:32,6624976
[บริษัทโดยตรง] - JOSE PREMIUM BODY OIL โจเซ่ พรีเมียม บอดี้ ออยล์ ขนาด 150 ML.,JOSE Thailand,฿213.00,美妆个护-洗浴与身体护理-保湿油、按摩油,15%,77953,31.96%,282191,56156009,15512647,2025-04-21 11:42:44,2551589
เอสเซ้นส์ สารสกัดว่านหางจระเข้ Sadoer Aloe Vera Essence30ML(880),TT LIVE SHOP,฿16.00,美妆个护-美容护肤-面部精华液,10%,77561,77.97%,222361,3330387.15,1163415,2023-06-16 10:20:31,1158815
ครีมกำจัดขนคอสมิค COSMIC CREAM REMOVAL SPAY [ของแท้บริษัท],พี่ปุ้ยคอสมิค,฿69.00,美妆个护-洗浴与身体护理-除毛乳、除毛蜜蜡&除毛器,10%,75915,105.89%,398877,25067211.4,4492191.27,2024-09-04 08:43:52,899385
(โปรไลฟ์) ครีมรักแร้เล็ก 1 กระปุก แบรนด์ฝนดอกไม้,ฝนดอกไม้,฿63.80,美妆个护-洗浴与身体护理-身体除臭&防汗剂,5%,75524,38.16%,175208,10365576.45,4437290.96,2025-05-09 05:19:50,6624976
เซรั่มสตอเบอรี่ สูตรใหม่ 15 ML. (แถมเฟิร์สแคร์สูตรใหม่ 1 ซอง),YerpallThailand,฿442.00,美妆个护-美容护肤-面部精华液,15%,72728,79.96%,479347,177133559.5,26483578,2022-06-29 16:56:06,2332667
//H2K// TERRA PAFE บาล์มน้ำหอมแบบแท่งขนาด 7 กรัม กลิ่นหอม พกพาสะดวก ใช้ได้ทุกจุด กลิ่นหอมฟุ้ง | Perfume Balm EDP 13% น้ำหอมกลิ่นผู้หญิงผู้ชาย ใช้ได้ทุกวัน,MIDUNG MULTI BRAND,฿59.42,美妆个护-香水-男女通用香水,15%,71599,996.97%,157858,11686540.14,3986927.78,2024-07-20 19:08:23,1531277
[โทนอัพพี่ดารา!] โทนอัพฟิลเตอร์ชับบี้ Chubby Daily Filter Tone Up 100 g.,CHUBBY,฿251.00,美妆个护-洗浴与身体护理-身体霜、乳,10%,71208,455.79%,130408,30759066.77,16621952,2025-04-04 21:16:02,680285
ยาสีฟันขิงขิง แบรนด์บียอน - โปรโมชั่น ซื้อ 1 หลอด แถมฟรี 1 หลอด,Noom341,฿298.00,美妆个护-鼻子口腔护理-牙膏,20%,70347,36.02%,773076,267022349.7,18923343,2022-06-29 16:51:45,2599538
ซิโอร่า เซรั่ม 5 ขวด - Ciora Niacinamide 10% Serum  - (ส่งตรงจากโรงงาน),ซิโอร่า มอลล์,฿105.00,美妆个护-美容护肤-面部精华液,15%,68947,513.19%,92847,9191853,6825753,2025-06-29 06:32:30,234991
